species,model_loss,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,tpr_mean,tpr_std,tpr_min,tpr_max,tnr_mean,tnr_std,tnr_min,tnr_max
Dalbergia sissoo,RF_Dice,0.7541,0.0795,0.6552,0.8889,9,0.7745,0.1036,0.5984,0.8673,0.7441,0.1055,0.5662,0.8786
Syzygium cumini,RF_Dice,0.8117,0.0649,0.7251,0.918,16,0.8073,0.101,0.489,0.9863,0.8316,0.1124,0.6898,1.0
