genus,model_loss,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,tpr_mean,tpr_std,tpr_min,tpr_max,tnr_mean,tnr_std,tnr_min,tnr_max
Artemisia,RF_Dice,0.8315,0.1348,0.6217,1.0,12,0.5152,0.4711,0.0,1.0,0.7506,0.1592,0.5771,1.0
Memecylon,RF_Dice,0.8626,0.1701,0.5041,1.0,7,0.8336,0.178,0.5249,1.0,0.9112,0.1339,0.6424,1.0
