ecoregion,genus,model,loss_function,model_loss,accuracy,tnr
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Tversky,RF_Tversky,0.7544129115927903,1.0
Deccan_thorn_scrub_forests,Macaranga,RF,Tversky,RF_Tversky,0.708538666366099,1.0
Khathiar_Gir_dry_deciduous_forests,Macaranga,RF,Tversky,RF_Tversky,0.7342856754117295,0.6088664224747273
Malabar_Coast_moist_forests,Macaranga,RF,Tversky,RF_Tversky,1.0,1.0
North_Western_Ghats_montane_rain_forests,Macaranga,RF,Tversky,RF_Tversky,1.0,0.775367198433019
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,RF,Tversky,RF_Tversky,1.0,1.0
South_Western_Ghats_moist_deciduous_forests,Macaranga,RF,Tversky,RF_Tversky,0.7693676471555592,1.0
South_Western_Ghats_montane_rain_forests,Macaranga,RF,Tversky,RF_Tversky,0.9981585518202637,0.5
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,RF,Tversky,RF_Tversky,0.629881050551789,0.5530459505045126
Aravalli_west_thorn_scrub_forests,Macaranga,WLR,Dice,WLR_Dice,0.3524568280360564,0.5
Central_Deccan_Plateau_dry_deciduous_forests,Macaranga,WLR,Dice,WLR_Dice,0.09902995250137431,0.5
Deccan_thorn_scrub_forests,Macaranga,WLR,Dice,WLR_Dice,0.0,0.5
Khathiar_Gir_dry_deciduous_forests,Macaranga,WLR,Dice,WLR_Dice,0.24185239056809035,0.5
Malabar_Coast_moist_forests,Macaranga,WLR,Dice,WLR_Dice,0.7046151629158708,0.5
North_Western_Ghats_montane_rain_forests,Macaranga,WLR,Dice,WLR_Dice,0.688298055989574,0.5
South_Deccan_Plateau_dry_deciduous_forests,Macaranga,WLR,Dice,WLR_Dice,0.2556076673126988,0.5
South_Western_Ghats_moist_deciduous_forests,Macaranga,WLR,Dice,WLR_Dice,0.7813543127500403,0.5
South_Western_Ghats_montane_rain_forests,Macaranga,WLR,Dice,WLR_Dice,0.7987099008572079,0.5
Upper_Gangetic_Plains_moist_deciduous_forests,Macaranga,WLR,Dice,WLR_Dice,0.19760640632798707,0.5
Aravalli_west_thorn_scrub_forests,Macaranga,WLR,Focal,WLR_Focal,0.36378076020187217,0.5
