model_loss,accuracy,precision,recall,f1,tpr,tnr,optimal_threshold
Random_Forest_Dice_Loss,0.9878571428571429,0.9913669064748202,0.9842857142857143,0.9878136200716846,0.9842857142857143,0.9914285714285714,0.4789473684210527
Random_Forest_Focal_Loss,0.98,0.9985163204747775,0.9614285714285714,0.9796215429403202,0.9614285714285714,0.9985714285714286,0.6894736842105262
Random_Forest_Tversky_Loss,0.9871428571428571,0.9871428571428571,0.9871428571428571,0.9871428571428571,0.9871428571428571,0.9871428571428571,0.4368421052631579
Logistic_Regression_Dice_Loss,0.9207142857142857,0.9084604715672677,0.9357142857142857,0.9218859957776214,0.9357142857142857,0.9057142857142857,0.4368421052631579
Logistic_Regression_Focal_Loss,0.7421428571428571,0.9829059829059829,0.4928571428571429,0.6565176022835395,0.4928571428571429,0.9914285714285714,0.9
Logistic_Regression_Tversky_Loss,0.8957142857142857,0.8361650485436893,0.9842857142857143,0.9041994750656168,0.9842857142857143,0.8071428571428572,0.26842105263157895
Weighted_Logistic_Regression_Dice_Loss,0.9021428571428571,0.8809201623815968,0.93,0.9047949965253649,0.93,0.8742857142857143,0.4368421052631579
Weighted_Logistic_Regression_Focal_Loss,0.7292857142857143,0.9878419452887538,0.4642857142857143,0.6316812439261419,0.4642857142857143,0.9942857142857143,0.9
Weighted_Logistic_Regression_Tversky_Loss,0.8778571428571429,0.8167664670658683,0.9742857142857143,0.888599348534202,0.9742857142857143,0.7814285714285715,0.26842105263157895
