model_loss,accuracy,precision,recall,f1,tpr,tnr,optimal_threshold
Random_Forest_Dice_Loss,0.9821428571428571,0.9655172413793104,1.0,0.9824561403508771,1.0,0.9642857142857143,0.1
Random_Forest_Focal_Loss,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,0.9523809523809523,1.0,0.6894736842105262
Random_Forest_Tversky_Loss,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,0.9523809523809523,1.0,0.6894736842105262
Logistic_Regression_Dice_Loss,0.9702380952380952,0.9540229885057471,0.9880952380952381,0.9707602339181286,0.9880952380952381,0.9523809523809523,0.22631578947368422
Logistic_Regression_Focal_Loss,0.9523809523809523,0.9871794871794872,0.9166666666666666,0.9506172839506173,0.9166666666666666,0.9880952380952381,0.7736842105263158
Logistic_Regression_Tversky_Loss,0.9642857142857143,0.975609756097561,0.9523809523809523,0.963855421686747,0.9523809523809523,0.9761904761904762,0.4789473684210527
Weighted_Logistic_Regression_Dice_Loss,0.9702380952380952,0.9540229885057471,0.9880952380952381,0.9707602339181286,0.9880952380952381,0.9523809523809523,0.22631578947368422
Weighted_Logistic_Regression_Focal_Loss,0.9523809523809523,0.9871794871794872,0.9166666666666666,0.9506172839506173,0.9166666666666666,0.9880952380952381,0.7736842105263158
Weighted_Logistic_Regression_Tversky_Loss,0.9642857142857143,0.975609756097561,0.9523809523809523,0.963855421686747,0.9523809523809523,0.9761904761904762,0.5210526315789473
