model_loss,accuracy,precision,recall,f1,tpr,tnr,optimal_threshold
Random_Forest_Dice_Loss,0.9824267782426779,0.9914675767918089,0.9731993299832495,0.9822485207100592,0.9731993299832495,0.9916387959866221,0.4789473684210527
Random_Forest_Focal_Loss,0.9740585774058578,0.9982394366197183,0.949748743718593,0.9733905579399141,0.949748743718593,0.9983277591973244,0.6473684210526316
Random_Forest_Tversky_Loss,0.9774058577405857,0.9641693811074918,0.9916247906197655,0.9777043765483072,0.9916247906197655,0.9632107023411371,0.31052631578947365
Logistic_Regression_Dice_Loss,0.9523012552301255,0.9455445544554455,0.9597989949748744,0.9526184538653366,0.9597989949748744,0.9448160535117057,0.4368421052631579
Logistic_Regression_Focal_Loss,0.8920502092050209,0.9875,0.7939698492462312,0.8802228412256268,0.7939698492462312,0.9899665551839465,0.7736842105263158
Logistic_Regression_Tversky_Loss,0.9523012552301255,0.9455445544554455,0.9597989949748744,0.9526184538653366,0.9597989949748744,0.9448160535117057,0.4368421052631579
Weighted_Logistic_Regression_Dice_Loss,0.9380753138075314,0.9238249594813615,0.9547738693467337,0.9390444810543658,0.9547738693467337,0.9214046822742475,0.4368421052631579
Weighted_Logistic_Regression_Focal_Loss,0.7665271966527196,0.9847560975609756,0.541038525963149,0.6983783783783784,0.541038525963149,0.9916387959866221,0.9
Weighted_Logistic_Regression_Tversky_Loss,0.9330543933054394,0.9070866141732283,0.964824120603015,0.935064935064935,0.964824120603015,0.9013377926421404,0.39473684210526316
