model_loss,accuracy,precision,recall,f1,tpr,tnr,optimal_threshold
Random_Forest_Dice_Loss,0.9530026109660574,0.9481865284974094,0.9581151832460733,0.953125,0.9581151832460733,0.9479166666666666,0.4789473684210527
Random_Forest_Focal_Loss,0.856396866840731,1.0,0.7120418848167539,0.8318042813455657,0.7120418848167539,1.0,0.7736842105263158
Random_Forest_Tversky_Loss,0.9425587467362925,0.9121951219512195,0.9790575916230366,0.9444444444444444,0.9790575916230366,0.90625,0.3526315789473684
Logistic_Regression_Dice_Loss,0.8981723237597912,0.8838383838383839,0.9162303664921466,0.8997429305912596,0.9162303664921466,0.8802083333333334,0.4368421052631579
Logistic_Regression_Focal_Loss,0.7963446475195822,0.9669421487603306,0.612565445026178,0.75,0.612565445026178,0.9791666666666666,0.6473684210526316
Logistic_Regression_Tversky_Loss,0.8903394255874674,0.8465116279069768,0.9528795811518325,0.896551724137931,0.9528795811518325,0.828125,0.39473684210526316
Weighted_Logistic_Regression_Dice_Loss,0.7728459530026109,0.7047244094488189,0.93717277486911,0.8044943820224719,0.93717277486911,0.609375,0.6894736842105262
Weighted_Logistic_Regression_Focal_Loss,0.6710182767624021,0.9452054794520548,0.3612565445026178,0.5227272727272727,0.3612565445026178,0.9791666666666666,0.9
Weighted_Logistic_Regression_Tversky_Loss,0.7728459530026109,0.7047244094488189,0.93717277486911,0.8044943820224719,0.93717277486911,0.609375,0.6894736842105262
